account_number,customer_name,account_type,branch,ifsc,currency,statement_start,statement_end,source_file
920000000001,Thiyagarajan Subbu,Burgundy Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0001_Thiyagarajan_Subbu_Statement.pdf
920000000002,Aarti Selvam,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0002_Aarti_Selvam_Statement.pdf
920000000003,Radha Krishnan,Easy Access Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0003_Radha_Krishnan_Statement.pdf
920000000004,Loganathan Surya,Easy Access Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0004_Loganathan_Surya_Statement.pdf
920000000005,Meena Balaji,Prime Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0005_Meena_Balaji_Statement.pdf
920000000006,Uma Mohan,Easy Access Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0006_Uma_Mohan_Statement.pdf
920000000007,Elango Ganesh,Burgundy Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0007_Elango_Ganesh_Statement.pdf
920000000008,Aishwarya Pandian,Prime Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0008_Aishwarya_Pandian_Statement.pdf
920000000009,Zafar Surya,Prime Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0009_Zafar_Surya_Statement.pdf
920000000010,Kavitha Raj,Prime Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0010_Kavitha_Raj_Statement.pdf
920000000011,Thirumal Bala,Burgundy Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0011_Thirumal_Bala_Statement.pdf
920000000012,Raghavan Surya,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0012_Raghavan_Surya_Statement.pdf
920000000013,Dinesh Arun,Prime Savings,Coimbatore - Town Hall,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0013_Dinesh_Arun_Statement.pdf
920000000014,Vasudevan Kumar,Burgundy Savings,Coimbatore - Hopes College,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0014_Vasudevan_Kumar_Statement.pdf
920000000015,Harish Chandra,Prime Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0015_Harish_Chandra_Statement.pdf
920000000016,Gokul Nathan,Prime Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0016_Gokul_Nathan_Statement.pdf
920000000017,Sanjay Shankar,Prime Savings,Coimbatore - Race Course,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0017_Sanjay_Shankar_Statement.pdf
920000000018,Indira Krishnan,Prime Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0018_Indira_Krishnan_Statement.pdf
920000000019,Bhuvana Kumar,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0019_Bhuvana_Kumar_Statement.pdf
920000000020,Vijay Ramesh,Easy Access Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0020_Vijay_Ramesh_Statement.pdf
920000000021,Thamarai Ganesh,Prime Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0021_Thamarai_Ganesh_Statement.pdf
920000000022,Thenmozhi Muthu,Easy Access Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0022_Thenmozhi_Muthu_Statement.pdf
920000000023,Indira Sundaram,Burgundy Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0023_Indira_Sundaram_Statement.pdf
920000000024,Yashwant Krishnan,Prime Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0024_Yashwant_Krishnan_Statement.pdf
920000000025,Mohan Babu,Burgundy Savings,Coimbatore - Ukkadam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0025_Mohan_Babu_Statement.pdf
920000000026,Lavanya Suresh,Prime Savings,Coimbatore - Singanallur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0026_Lavanya_Suresh_Statement.pdf
920000000027,Ravi Nandha,Prime Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0027_Ravi_Nandha_Statement.pdf
920000000028,Udhay Thiru,Easy Access Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0028_Udhay_Thiru_Statement.pdf
920000000029,Zarina Siva,Easy Access Savings,Coimbatore - Race Course,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0029_Zarina_Siva_Statement.pdf
920000000030,Lokesh Arun,Prime Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0030_Lokesh_Arun_Statement.pdf
920000000031,Thenmozhi Raju,Prime Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0031_Thenmozhi_Raju_Statement.pdf
920000000032,Aravind Ganesh,Prime Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0032_Aravind_Ganesh_Statement.pdf
920000000033,Elakkiya Dass,Burgundy Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0033_Elakkiya_Dass_Statement.pdf
920000000034,Usha Chandra,Easy Access Savings,Coimbatore - Hopes College,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0034_Usha_Chandra_Statement.pdf
920000000035,Kalpana Balaji,Prime Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0035_Kalpana_Balaji_Statement.pdf
920000000036,Ravi Raman,Burgundy Savings,Coimbatore - Gandhipuram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0036_Ravi_Raman_Statement.pdf
920000000037,Raghavan Kannan,Burgundy Savings,Coimbatore - Singanallur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0037_Raghavan_Kannan_Statement.pdf
920000000038,Padma Siva,Prime Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0038_Padma_Siva_Statement.pdf
920000000039,Lalitha Nathan,Easy Access Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0039_Lalitha_Nathan_Statement.pdf
920000000040,Xavier Vijay,Easy Access Savings,Coimbatore - Ukkadam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0040_Xavier_Vijay_Statement.pdf
920000000041,Aishwarya Balaji,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0041_Aishwarya_Balaji_Statement.pdf
920000000042,Geetha Mani,Burgundy Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0042_Geetha_Mani_Statement.pdf
920000000043,Sundaram Ramesh,Easy Access Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0043_Sundaram_Ramesh_Statement.pdf
920000000044,Ganesan Vijay,Burgundy Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0044_Ganesan_Vijay_Statement.pdf
920000000045,Balaji Raj,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0045_Balaji_Raj_Statement.pdf
920000000046,Chitra Kumar,Burgundy Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0046_Chitra_Kumar_Statement.pdf
920000000047,Madhavan Durai,Easy Access Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0047_Madhavan_Durai_Statement.pdf
920000000048,Kumar Raj,Burgundy Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0048_Kumar_Raj_Statement.pdf
920000000049,Kathir Anand,Burgundy Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0049_Kathir_Anand_Statement.pdf
920000000050,Aarti Anand,Burgundy Savings,Coimbatore - Ukkadam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0050_Aarti_Anand_Statement.pdf
920000000051,Geetha Sundaram,Prime Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0051_Geetha_Sundaram_Statement.pdf
920000000052,Gopal Gopal,Burgundy Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0052_Gopal_Gopal_Statement.pdf
920000000053,Yuvaraj Shankar,Burgundy Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0053_Yuvaraj_Shankar_Statement.pdf
920000000054,Kalpana Prabhu,Prime Savings,Coimbatore - Saibaba Colony,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0054_Kalpana_Prabhu_Statement.pdf
920000000055,Omsakthi Perumal,Burgundy Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0055_Omsakthi_Perumal_Statement.pdf
920000000056,Deepika Arun,Prime Savings,Coimbatore - Gandhipuram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0056_Deepika_Arun_Statement.pdf
920000000057,Oviya Selvam,Easy Access Savings,Coimbatore - Singanallur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0057_Oviya_Selvam_Statement.pdf
920000000058,Thirumal Durai,Prime Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0058_Thirumal_Durai_Statement.pdf
920000000059,Eswaran Kumar,Easy Access Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0059_Eswaran_Kumar_Statement.pdf
920000000060,Wasim Babu,Prime Savings,Coimbatore - Town Hall,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0060_Wasim_Babu_Statement.pdf
920000000061,Hema Venkat,Burgundy Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0061_Hema_Venkat_Statement.pdf
920000000062,Dinesh Subbu,Easy Access Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0062_Dinesh_Subbu_Statement.pdf
920000000063,Elakkiya Moorthy,Burgundy Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0063_Elakkiya_Moorthy_Statement.pdf
920000000064,Priya Karthik,Prime Savings,Coimbatore - Gandhipuram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0064_Priya_Karthik_Statement.pdf
920000000065,Om Velu,Easy Access Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0065_Om_Velu_Statement.pdf
920000000066,Sanjay Suresh,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0066_Sanjay_Suresh_Statement.pdf
920000000067,Ezhilarasi Nandha,Easy Access Savings,Coimbatore - Saibaba Colony,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0067_Ezhilarasi_Nandha_Statement.pdf
920000000068,Tamilselvi Senthil,Burgundy Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0068_Tamilselvi_Senthil_Statement.pdf
920000000069,Aravind Shankar,Burgundy Savings,Coimbatore - Town Hall,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0069_Aravind_Shankar_Statement.pdf
920000000070,Yazhini Jagan,Prime Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0070_Yazhini_Jagan_Statement.pdf
920000000071,Thangaraj Ganesh,Prime Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0071_Thangaraj_Ganesh_Statement.pdf
920000000072,Hemachandran Venkat,Easy Access Savings,Coimbatore - Gandhipuram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0072_Hemachandran_Venkat_Statement.pdf
920000000073,Chitra Kumar,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0073_Chitra_Kumar_Statement.pdf
920000000074,Lakshmi Ganesh,Prime Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0074_Lakshmi_Ganesh_Statement.pdf
920000000075,Anand Raj,Prime Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0075_Anand_Raj_Statement.pdf
920000000076,Yashwant Durai,Prime Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0076_Yashwant_Durai_Statement.pdf
920000000077,Bhuvana Balaji,Easy Access Savings,Coimbatore - Hopes College,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0077_Bhuvana_Balaji_Statement.pdf
920000000078,Balaji Perumal,Easy Access Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0078_Balaji_Perumal_Statement.pdf
920000000079,Hari Subbu,Easy Access Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0079_Hari_Subbu_Statement.pdf
920000000080,Lokesh Karthik,Prime Savings,Coimbatore - Singanallur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0080_Lokesh_Karthik_Statement.pdf
920000000081,Rajan Kannan,Easy Access Savings,Coimbatore - Saibaba Colony,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0081_Rajan_Kannan_Statement.pdf
920000000082,Chitralekha Karthik,Prime Savings,Coimbatore - Ukkadam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0082_Chitralekha_Karthik_Statement.pdf
920000000083,Jayakumar Anand,Prime Savings,Coimbatore - Town Hall,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0083_Jayakumar_Anand_Statement.pdf
920000000084,Ilayaraja Ramesh,Prime Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0084_Ilayaraja_Ramesh_Statement.pdf
920000000085,Om Jagan,Easy Access Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0085_Om_Jagan_Statement.pdf
920000000086,Loganathan Balaji,Easy Access Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0086_Loganathan_Balaji_Statement.pdf
920000000087,Divya Siva,Easy Access Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0087_Divya_Siva_Statement.pdf
920000000088,Hemalatha Bala,Easy Access Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0088_Hemalatha_Bala_Statement.pdf
920000000089,Nirmala Thiru,Easy Access Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0089_Nirmala_Thiru_Statement.pdf
920000000090,Vanitha Senthil,Easy Access Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0090_Vanitha_Senthil_Statement.pdf
920000000091,Malathi Sundaram,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0091_Malathi_Sundaram_Statement.pdf
920000000092,Aarti Subbu,Burgundy Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0092_Aarti_Subbu_Statement.pdf
920000000093,Harini Kannan,Burgundy Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0093_Harini_Kannan_Statement.pdf
920000000094,Aarti Arun,Burgundy Savings,Coimbatore - Hopes College,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0094_Aarti_Arun_Statement.pdf
920000000095,Anand Prabhu,Prime Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0095_Anand_Prabhu_Statement.pdf
920000000096,Iyappan Mohan,Prime Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0096_Iyappan_Mohan_Statement.pdf
920000000097,Subramanian Kannan,Easy Access Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0097_Subramanian_Kannan_Statement.pdf
920000000098,Mahesh Perumal,Easy Access Savings,Coimbatore - Singanallur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0098_Mahesh_Perumal_Statement.pdf
920000000099,Jagan Durai,Easy Access Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0099_Jagan_Durai_Statement.pdf
920000000100,Anitha Balaji,Easy Access Savings,Coimbatore - Ukkadam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0100_Anitha_Balaji_Statement.pdf
920000000101,Venkatesh Subbu,Burgundy Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0101_Venkatesh_Subbu_Statement.pdf
